Weight_KG,Zone,Service,Price_GBP
250,1,E,49
250,1,ND,50
250,2,E,55.99
250,2,ND,59.56
250,3,E,51.7
250,3,ND,55
250,4,E,73.96
250,4,ND,78.67
250,5,E,104.36
250,5,ND,111.01
250,6,E,111.84
250,6,ND,118.98
250,7,E,208.75
250,7,ND,P.O.A
500,1,E,58.81
500,1,ND,60
500,2,E,56.41
500,2,ND,60
500,3,E,56.4
500,3,ND,60
500,4,E,70.5
500,4,ND,75
500,5,E,108.14
500,5,ND,115.04
500,6,E,116.59
500,6,ND,124.04
500,7,E,267.23
500,7,ND,P.O.A
1100,1,E,78.41
1100,1,ND,80
1100,2,E,61.8
1100,2,ND,65.75
1100,3,E,70.5
1100,3,ND,75
1100,4,E,89.29
1100,4,ND,95
1100,5,E,112.81
1100,5,ND,120
1100,6,E,126.91
1100,6,ND,135
1100,7,E,325.71
1100,7,ND,P.O.A
2200,1,E,122.54
2200,1,ND,125
2200,2,E,140.99
2200,2,ND,150
2200,3,E,150.41
2200,3,ND,160
2200,4,E,162.05
2200,4,ND,172.4
2200,5,E,223.32
2200,5,ND,237.58
2200,6,E,251.22
2200,6,ND,267.28
2200,7,E,384.19
2200,7,ND,P.O.A
3300,1,E,155.44
3300,1,ND,165.36
3300,2,E,164.5
3300,2,ND,175
3300,3,E,188
3300,3,ND,200
3300,4,E,230.3
3300,4,ND,245
3300,5,E,314.67
3300,5,ND,334.75
3300,6,E,360.23
3300,6,ND,383.23
3300,7,E,442.67
3300,7,ND,P.O.A
4400,1,E,140.99
4400,1,ND,150
4400,2,E,227.18
4400,2,ND,241.68
4400,3,E,248.17
4400,3,ND,264
4400,4,E,301.7
4400,4,ND,320.96
4400,5,E,395.8
4400,5,ND,421.08
4400,6,E,440.06
4400,6,ND,468.15
4400,7,E,501.15
4400,7,ND,P.O.A
5500,1,E,214.32
5500,1,ND,228
5500,2,E,261.43
5500,2,ND,278.12
5500,3,E,282
5500,3,ND,300
5500,4,E,365.5
5500,4,ND,388.82
5500,5,E,482.88
5500,5,ND,513.71
5500,6,E,540.35
5500,6,ND,574.85
5500,7,E,559.63
5500,7,ND,P.O.A
6600,1,E,254.44
6600,1,ND,270.68
6600,2,E,336.5
6600,2,ND,357.97
6600,3,E,437.1
6600,3,ND,465
6600,4,E,438.51
6600,4,ND,466.5
6600,5,E,567.63
6600,5,ND,603.87
6600,6,E,636.91
6600,6,ND,677.57
6600,7,E,618.11
6600,7,ND,P.O.A
7700,1,E,284.29
7700,1,ND,302.43
7700,2,E,386.81
7700,2,ND,411.5
7700,3,E,420.63
7700,3,ND,447.47
7700,4,E,501.49
7700,4,ND,533.49
7700,5,E,658.67
7700,5,ND,700.71
7700,6,E,733.83
7700,6,ND,780.67
7700,7,E,676.6
7700,7,ND,P.O.A
8800,1,E,302.78
8800,1,ND,322.11
8800,2,E,431.23
8800,2,ND,458.76
8800,3,E,517.01
8800,3,ND,550
8800,4,E,548.14
8800,4,ND,583.12
8800,5,E,747.03
8800,5,ND,794.71
8800,6,E,844.6
8800,6,ND,898.51
8800,7,E,735.08
8800,7,ND,P.O.A
9900,1,E,321.27
9900,1,ND,341.79
9900,2,E,454.93
9900,2,ND,483.96
9900,3,E,473.48
9900,3,ND,503.7
9900,4,E,566.8
9900,4,ND,602.98
9900,5,E,830.02
9900,5,ND,883.01
9900,6,E,897.22
9900,6,ND,954.49
9900,7,E,793.56
9900,7,ND,P.O.A
11000,1,E,277.3
11000,1,ND,295
11000,2,E,485.72
11000,2,ND,516.73
11000,3,E,493.3
11000,3,ND,524.79
11000,4,E,583.12
11000,4,ND,620.35
11000,5,E,896.97
11000,5,ND,954.22
11000,6,E,996.91
11000,6,ND,1060.54
11000,7,E,852.04
11000,7,ND,P.O.A
12100,1,E,358.27
12100,1,ND,381.15
12100,2,E,497.58
12100,2,ND,529.33
12100,3,E,510.92
12100,3,ND,543.53
12100,4,E,601.78
12100,4,ND,640.19
12100,5,E,923.75
12100,5,ND,982.7
12100,6,E,1057.82
12100,6,ND,1125.34
12100,7,E,910.52
12100,7,ND,P.O.A
13200,1,E,376.78
13200,1,ND,400.81
13200,2,E,509.51
13200,2,ND,542.04
13200,3,E,524.13
13200,3,ND,557.59
13200,4,E,618.11
13200,4,ND,657.56
13200,5,E,963.91
13200,5,ND,1025.43
13200,6,E,1099.37
13200,6,ND,1169.54
13200,7,E,969
13200,7,ND,P.O.A
14300,1,E,395.27
14300,1,ND,420.49
14300,2,E,516.53
14300,2,ND,549.5
14300,3,E,532.94
14300,3,ND,566.96
14300,4,E,634.44
14300,4,ND,674.93
14300,5,E,988
14300,5,ND,1051.07
14300,6,E,1149.21
14300,6,ND,1222.56
14300,7,E,1027.48
14300,7,ND,P.O.A
15400,1,E,413.76
15400,1,ND,440.17
15400,2,E,523.63
15400,2,ND,557.05
15400,3,E,541.75
15400,3,ND,576.32
15400,4,E,657.77
15400,4,ND,699.75
15400,5,E,1017.46
15400,5,ND,1082.4
15400,6,E,1232.28
15400,6,ND,1310.94
15400,7,E,1233.75
15400,7,ND,1312.5
16500,1,E,432.26
16500,1,ND,459.85
16500,2,E,533.11
16500,2,ND,567.14
16500,3,E,550.56
16500,3,ND,585.7
16500,4,E,674.09
16500,4,ND,717.11
16500,5,E,1044.22
16500,5,ND,1110.88
16500,6,E,1315.36
16500,6,ND,1399.31
16500,7,E,1298.69
16500,7,ND,1381.58
17600,1,E,458.6
17600,1,ND,487.86
17600,2,E,549.62
17600,2,ND,584.7
17600,3,E,571.33
17600,3,ND,607.8
17600,4,E,707.17
17600,4,ND,752.32
17600,5,E,1103.25
17600,5,ND,1173.67
17600,6,E,1422.76
17600,6,ND,1513.57
17600,7,E,1363.62
17600,7,ND,1450.66
18700,1,E,477.41
18700,1,ND,507.88
18700,2,E,556.84
18700,2,ND,592.39
18700,3,E,582.53
18700,3,ND,619.72
18700,4,E,716.67
18700,4,ND,762.41
18700,5,E,1130.49
18700,5,ND,1202.65
18700,6,E,1535.45
18700,6,ND,1633.46
18700,7,E,1428.56
18700,7,ND,1519.74
19800,1,E,496.22
19800,1,ND,527.9
19800,2,E,566.49
19800,2,ND,602.65
19800,3,E,595.98
19800,3,ND,634.03
19800,4,E,747.51
19800,4,ND,795.23
19800,5,E,1149.56
19800,5,ND,1222.94
19800,6,E,1611.51
19800,6,ND,1714.38
19800,7,E,1493.5
19800,7,ND,1588.83
20900,1,E,515.05
20900,1,ND,547.93
20900,2,E,585.77
20900,2,ND,623.17
20900,3,E,609.42
20900,3,ND,648.32
20900,4,E,757.01
20900,4,ND,805.33
20900,5,E,1168.63
20900,5,ND,1243.22
20900,6,E,1676.31
20900,6,ND,1783.32
20900,7,E,1558.43
20900,7,ND,1657.91
22000,1,E,533.86
22000,1,ND,567.95
22000,2,E,590.59
22000,2,ND,628.29
22000,3,E,620.62
22000,3,ND,660.24
22000,4,E,771.25
22000,4,ND,820.48
22000,5,E,1201.32
22000,5,ND,1277.99
22000,6,E,1746.74
22000,6,ND,1858.24
22000,7,E,1623.36
22000,7,ND,1726.98
23100,1,E,557.4
23100,1,ND,592.98
23100,2,E,627.25
23100,2,ND,667.29
23100,3,E,632.71
23100,3,ND,673.09
23100,4,E,785.01
23100,4,ND,835.12
23100,5,E,1228.07
23100,5,ND,1306.46
23100,6,E,1818.51
23100,6,ND,1934.58
23100,7,E,1758.64
23100,7,ND,1870.89
24200,1,E,582.8
24200,1,ND,620
24200,2,E,632.11
24200,2,ND,672.46
24200,3,E,653.04
24200,3,ND,694.73
24200,4,E,796.98
24200,4,ND,847.85
24200,5,E,1261.04
24200,5,ND,1341.52
24200,6,E,1861.13
24200,6,ND,1979.92
24200,7,E,1826.28
24200,7,ND,1942.85
25300,1,E,595.36
25300,1,ND,633.37
25300,2,E,639.41
25300,2,ND,680.21
25300,3,E,659.83
25300,3,ND,701.94
25300,4,E,804.16
25300,4,ND,855.5
25300,5,E,1277.52
25300,5,ND,1359.06
25300,6,E,1903.74
25300,6,ND,2025.26
25300,7,E,1893.92
25300,7,ND,2014.81
26400,1,E,614.35
26400,1,ND,653.55
26400,2,E,654
26400,2,ND,695.73
26400,3,E,673.38
26400,3,ND,716.37
26400,4,E,828.1
26400,4,ND,880.95
26400,5,E,1288.51
26400,5,ND,1370.76
