Postcode_Prefix,Town,Zone,Service_Level
AB,ABERDEEN,7,E
AL,ST ALBANS,3,ND & E
B,BIRMINGHAM,1,ND & E
BA,BATH,3,ND & E
BB,BLACKBURN,3,ND & E
BD,BRADFORD,3,ND & E
BH,BOURNEMOUTH,4,ND & E
BL,BOLTON,3,ND & E
BN,BRIGHTON,4,ND & E
BR,BROMLEY,3,ND & E
BS,BRISTOL,2,ND & E
CA,CARLISLE,5,ND & E
CB,CAMBRIDGE,3,ND & E
CF,CARDIFF,3,ND & E
CH,CHESTER,3,ND & E
CM,CHELMSFORD,3,ND & E
CO,COLCHESTER,3,ND & E
CR,CROYDON,4,ND & E
CT,CANTERBURY,5,ND & E
CV,COVENTRY,1,ND & E
CW,CREWE,2,ND & E
DA,DARTFORD,3,ND & E
DD,DUNDEE,6,E
DE,DERBY,2,ND & E
DG,DUMFRIES,5,ND
DH,DURHAM,3,ND & E
DL,DARLINGTON,3,ND & E
DN,DONCASTER,3,ND & E
DT,DORCHESTER,5,ND & E
DY,DUDLEY,1,ND & E
E,EAST LONDON,5,ND & E
EC,EC LONDON,5,ND & E
EH,EDINBURGH,6,ND & E
EN,ENFIELD,3,ND & E
EX,EXETER,5,ND
FK,FALKIRK,6,ND & E
FY,BLACKPOOL,3,ND & E
G,GLASGOW,6,ND & E
GL,GLOUCESTER,2,ND & E
GU26-35,GUILDFORD (26-35),4,ND & E
GU (REST),REST OF GUILDFORD,3,ND & E
HA,HARROW,3,ND & E
HD,HUDDERSFIELD,3,ND & E
HG,HARROGATE,3,ND & E
HP,HEMEL HEMPSTEAD,3,ND & E
HR,HEREFORD,4,ND & E
HS,HEBRIDES,7,E
HU,HULL,3,ND & E
HX,HALIFAX,3,ND & E
IG,ILFORD,3,ND & E
IP11,IPSWICH (11),3,ND & E
IP (REST),REST OF IPSWICH,4,ND & E
IV,INVERNESS,7,E
KA,KILMARNOCK,6,ND & E
KT,KINGSTON ON THAMES,4,ND & E
KW,KIRKWALL,P.O.A,call office
KY1,KIRKCALDY (1),6,ND & E
L,LIVERPOOL,3,ND & E
LA1-11,LANCASTER (1-11),3,ND & E
LA (REST),REST OF LANCASTER,4,ND & E
LD,LLANDRINDOD WELLS,4,ND & E
LE,LEICESTER,2,ND & E
LL,LLANDUDNO,5,ND & E
LN,LINCOLN,3,ND & E
LS,LEEDS,3,ND & E
LU,LUTON,3,ND & E
M,MANCHESTER,3,ND & E
ME,MEDWAY,4,ND & E
MK,MILTON KEYNES,3,ND & E
ML,MOTHERWELL,6,ND & E
N,NORTH LONDON,4,ND & E
NE,NEWCASTLE ON TYNE,4,ND & E
NG,NOTTINGHAM,2,ND & E
NN,NORTHAMPTON,2,ND & E
NP,NEWPORT,2,ND & E
NR,NORWICH,4,ND & E
NW,NW LONDON,4,ND & E
OL,OLDHAM,3,ND & E
OX,OXFORD,3,ND & E
PA20+,PAISLEY (20+),7,E
PA (REST),REST OF PAISLEY,6,ND & E
PE,PETERBOROUGH,3,ND & E
PH1-16,PERTH (1-16),6,ND & E
PH (REST),REST OF PERTH,7,E
PL,PLYMOUTH,5,ND
PO,PORTSMOUTH,3,ND & E
PR,PRESTON,3,ND & E
RG,READING,4,ND & E
RH,REDHILL,5,ND & E
RM,ROMFORD,3,ND & E
S,SHEFFIELD,3,ND & E
SA,SWANSEA,4,ND & E
SE,SE LONDON,4,ND & E
SG,STEVENAGE,3,ND & E
SK,STOCKPORT,3,ND & E
SL,SLOUGH,3,ND & E
SM,SUTTON,4,ND & E
SN,SWINDON,3,ND & E
SO,SOUTHAMPTON,3,ND & E
SP,SALISBURY,5,ND & E
SR,SUNDERLAND,3,ND & E
SS,SOUTHEND,3,ND & E
ST,STOKE ON TRENT,2,ND & E
SW,SW LONDON,4,ND & E
SY,SHREWSBURY,3,ND & E
TA,TAUNTON,4,ND & E
TD,GALASHIELS,6,ND
TF,TELFORD,2,ND & E
TN13-16,TUNBRIDGE (13-16),5,E
TN (REST),REST OF TUNBRIDGE,4,ND & E
TQ,TORQUAY,5,ND
TR,TRURO,5,ND
TS,TEESSIDE,3,ND & E
UB,SOUTHALL,3,ND & E
W,WEST LONDON,4,ND & E
WA,WARRINGTON,3,ND & E
WC,WC LONDON,5,ND & E
WD,WATFORD,3,ND & E
WF,WAKEFIELD,3,ND & E
WN,WIGAN,3,ND & E
WR,WORCESTER,2,ND & E
WS,WALSALL,1,ND & E
WV,WOLVERHAMPTON,1,ND & E
YO,YORK,3,ND & E
ZE,LERWICK,P.O.A,call office
